zillaID,constituencyID,name,img,party,affidavit,election_fund,tax_return
4,125,মোঃ রুবেল হাওলাদার,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/4adf6839d55540a184d246b2ba9498eb_0_2.jpg?filePath=0/candidates/,জাতীয় পার্টি - জেপি,মোঃ রুবেল হাওলাদার_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/36717d0a4a5c4734b6334f1caa101942_0_2.pdf?filePath=0/candidates/&format=2,মোঃ রুবেল হাওলাদার_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/0b377ff7b85b458b895a7fdb7d04437b_0_2.pdf?filePath=0/candidates/&format=2,মোঃ রুবেল হাওলাদার_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/7ee596ac6e174fc7a6793d60164dff0b_0_2.pdf?filePath=0/candidates/&format=2
4,125,ফয়জুল হক,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/4d30d4f5b0794c538bfe01a453fdc09c_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জামায়াতে ইসলামী,ফয়জুল হক_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/69114e303c524188ae5b3f34d76a8e62_0_2.pdf?filePath=0/candidates/&format=2,ফয়জুল হক_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/3f176a85bbdd4cd8877789c88a5d879d_0_2.pdf?filePath=0/candidates/&format=2,ফয়জুল হক_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/1801b8c7d7cd48c3806fa791a89b05c2_0_2.pdf?filePath=0/candidates/&format=2
4,125,মোঃ মোস্তাফিজুর রহমান,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5b4e9c0486554da094add37686346f69_0_2.jpg?filePath=0/candidates/,স্বতন্ত্র,মোঃ মোস্তাফিজুর রহমান_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/441f830c29fd45c994f50f83f06aae6f_0_2.pdf?filePath=0/candidates/&format=2,মোঃ মোস্তাফিজুর রহমান_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/3566846b69934f97a4dbedd8280d5ace_0_2.pdf?filePath=0/candidates/&format=2,মোঃ মোস্তাফিজুর রহমান_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/8af2b7a3431141ffb29d24e8010f802a_0_2.pdf?filePath=0/candidates/&format=2
4,125,মোঃ মাহিবুল হোসেন,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/d53862ebb041418380a6ca552b792d9b_0_2.jpg?filePath=0/candidates/,জাতীয় পার্টি - জেপি,মোঃ মাহিবুল হোসেন_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/53e932653d7b4e72823880e93737540d_0_2.pdf?filePath=0/candidates/&format=2,মোঃ মাহিবুল হোসেন_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/e8e289f016c944d4b8a27df96fa25b6a_0_2.pdf?filePath=0/candidates/&format=2,মোঃ মাহিবুল হোসেন_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/7faad1b497544b03b343581948f2730f_0_2.pdf?filePath=0/candidates/&format=2
4,125,ইব্রাহিম,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/e4a0b93189bd4c6592a778599a1197c3_0_2.jpg?filePath=0/candidates/,ইসলামী আন্দোলন বাংলাদেশ,ইব্রাহিম_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/a954db82b9dd4c6fae7ef75174a0e077_0_2.pdf?filePath=0/candidates/&format=2,ইব্রাহিম_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/c5e4cc002c9a4ab38d592b4810f7913c_0_2.pdf?filePath=0/candidates/&format=2,ইব্রাহিম_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/f7b0e129ae704af8bc44940abc43b0ba_0_2.pdf?filePath=0/candidates/&format=2
4,125,মোঃ সোহরাব হোসেন,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/91613a8b058f4479b40802546de53772_0_2.jpg?filePath=0/candidates/,জাতীয় সমাজতান্ত্রিক দল-জেএসডি,মোঃ সোহরাব হোসেন_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/279da691b154413e9776d093694f9eb3_0_2.pdf?filePath=0/candidates/&format=2,মোঃ সোহরাব হোসেন_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/2b48d8b0fc7f4148bc6ab1012cf8188c_0_2.pdf?filePath=0/candidates/&format=2,মোঃ সোহরাব হোসেন_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/1aabae290f774c02b9661d46c03dd681_0_2.pdf?filePath=0/candidates/&format=2
4,125,মোঃ শাহাদৎ হোসেন,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/a8a71fdf14454f2f81e7f33cd31cc168_0_2.jpg?filePath=0/candidates/,গণঅধিকার পরিষদ (জিওপি),মোঃ শাহাদৎ হোসেন_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/52941d05e4f84050b29308656b931620_0_2.pdf?filePath=0/candidates/&format=2,মোঃ শাহাদৎ হোসেন_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/230836ae8ac64155a744d7ccbc11eef2_0_2.pdf?filePath=0/candidates/&format=2,মোঃ শাহাদৎ হোসেন_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/cbfc60ef3e5c4f33930a358711bf07ea_0_2.pdf?filePath=0/candidates/&format=2
4,126,সৈয়দ রাজ্জাক আলী,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/f55ab522643048f6bbcdd4d540b6f154_0_2.jpg?filePath=0/candidates/,স্বতন্ত্র,সৈয়দ রাজ্জাক আলী_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/f0c6abe6634f47deb2c99fa1c6135244_0_2.pdf?filePath=0/candidates/&format=2,সৈয়দ রাজ্জাক আলী_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/79c6b5206a874500964dfc26fb7ac18c_0_2.pdf?filePath=0/candidates/&format=2,সৈয়দ রাজ্জাক আলী_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/a931736ba74442ef9b95690e8b9d74fd_0_2.pdf?filePath=0/candidates/&format=2
4,126,ইসরাত সুলতানা ইলেন ভূট্টো,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5f8b16508ac1481aaec94206839347a2_0_2.jpg?filePath=0/candidates/,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ইসরাত সুলতানা ইলেন ভূট্টো_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/e517f86028414ee3b73bd7be7ecb17b8_0_2.pdf?filePath=0/candidates/&format=2,ইসরাত সুলতানা ইলেন ভূট্টো_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/ec3c267e49d44ad09c8746362c31492f_0_2.pdf?filePath=0/candidates/&format=2,ইসরাত সুলতানা ইলেন ভূট্টো_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/1abfc2e45f3944c482b27935015a2125_0_2.pdf?filePath=0/candidates/&format=2
4,126,শেখ জামাল হোসেন,https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/5b06d12fa1524eb49885ab5cf689bbce_0_2.jpg?filePath=0/candidates/,আমার বাংলাদেশ পার্টি (এবি পার্টি),শেখ জামাল হোসেন_হলফনামা | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/0218df5583154286b1a737e28090e4c3_0_2.pdf?filePath=0/candidates/&format=2,শেখ জামাল হোসেন_নির্বাচনী ব্যয় ও ব্যক্তিগত সম্পদের বিবরণী | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/3277625c2e904d709d5d8578c02fd1b2_0_2.pdf?filePath=0/candidates/&format=2,শেখ জামাল হোসেন_আয়কর রিটার্ন | https://onss.ecs.gov.bd/document-service/api/v1/private/document/8987865690/file/4f0f482b847c48ea9f47bbbcd75e83d7_0_2.pdf?filePath=0/candidates/&format=2
